,address.city,address.country,address.district,address.geoLocation.location.lat,address.geoLocation.location.lon
3136,São Paulo,,,-23.552655,-46.59522
3137,São Paulo,,,-23.475866,-46.627103
3138,São Paulo,,,-23.549827,-46.595166
3139,São Paulo,,,-23.552576,-46.745048
3140,São Paulo,,,-23.549999,-46.566253
3141,São Paulo,,,-23.545381,-46.653961
3142,São Paulo,,,-23.536512,-46.674865
3143,São Paulo,,,-23.555808,-46.57222
3144,São Paulo,,,-23.492619,-46.5977
3145,São Paulo,,,-23.541676,-46.673253
3146,São Paulo,,,-23.499802,-46.639667
3147,São Paulo,,,-23.547174,-46.65931
3148,São Paulo,,,-23.623909,-46.688597
3149,São Paulo,,,-23.488538,-46.641288
3150,São Paulo,,,-23.53129,-46.729913
3151,São Paulo,,,-23.500217,-46.633023
3152,São Paulo,,,-23.545751,-46.659942
3153,São Paulo,,,-23.543096,-46.754866
3154,São Paulo,,,-23.549204,-46.645271
3155,São Paulo,,,-23.624189,-46.673123
3156,São Paulo,,,-23.546659,-46.59434
3157,São Paulo,,,-23.613332,-46.691203
3158,São Paulo,,,-23.621607,-46.677871
3159,São Paulo,,,-23.605608,-46.661357
3160,São Paulo,,,-23.492097,-46.639499
3161,São Paulo,,,-23.561899,-46.678263
3162,São Paulo,,,-23.562625,-46.622129
3163,São Paulo,,,-23.582036,-46.673492
3164,São Paulo,,,-23.602355,-46.603968
3165,São Paulo,,,-23.563619,-46.61241
3166,São Paulo,,,-23.48434,-46.6917
3167,São Paulo,,,-23.579558,-46.634665
3168,São Paulo,,,-23.598907,-46.634615
3169,São Paulo,,,-23.544292,-46.565358
3170,São Paulo,,,-23.569375,-46.654062
3171,São Paulo,BR,,-23.572618,-46.532134
3172,São Paulo,,,-23.486187,-46.627722
3173,São Paulo,,,-23.509723,-46.499724
3174,São Paulo,,,-23.604209,-46.678362
3175,São Paulo,,,-23.627793,-46.742094
3176,São Paulo,,,-23.55726,-46.59307
3177,São Paulo,,,-23.596742,-46.674286
3178,São Paulo,,,-23.501222,-46.627635
3179,São Paulo,,,-23.611012,-46.739397
3180,São Paulo,,,-23.569958,-46.635777
3181,São Paulo,,,-23.563033,-46.677327
3182,São Paulo,,,-23.474951,-46.630507
3183,São Paulo,BR,,-23.530316,-46.682645
3184,São Paulo,,,-23.547918,-46.66071
3185,São Paulo,,,-23.584697,-46.60557
3186,São Paulo,BR,,-23.625438,-46.721476
3187,São Paulo,,,-23.503143,-46.720414
3188,São Paulo,,,-23.549363,-46.746906
3189,São Paulo,,,-23.549098,-46.735965
3190,São Paulo,,,-23.542626,-46.674041
3191,São Paulo,,,-23.443249,-46.728831
3192,São Paulo,,,-23.556784,-46.680275
3193,São Paulo,,,-23.60498,-46.628841
3194,São Paulo,,,-23.613737,-46.624575
3195,São Paulo,,,-23.473396,-46.637235
3196,São Paulo,,,-23.485806,-46.614079
3197,São Paulo,,,-23.548553,-46.641653
3198,São Paulo,,,-23.480713,-46.657578
3199,São Paulo,,,-23.608258,-46.61323
